split_landsatb_B1,split_landsatb_B2,split_landsatb_B3,split_landsatb_B4,split_landsatb_B5,split_landsatb_B6,split_landsatb_B7,split_landsatb_B8,HH_pknp,HV_pknp,RFDI2016,Ratio2016,class
0.117517878,0.096086027,0.075303743,0.266428648,0.154367229,0.066035155,303.55054,300.9896394,5848,3478,0.477423906,0.353707641,6
0.117058654,0.093776403,0.07365244,0.244016268,0.140940448,0.060394937,303.6584805,301.1288679,5366,4206,0.238865554,0.614380181,6
0.115861009,0.092710904,0.071453241,0.24725089,0.131912236,0.055105873,303.0561768,300.9711045,7656,3904,0.587269604,0.260025412,6
0.117838719,0.096370822,0.075511682,0.262936885,0.148828038,0.063436136,303.4493462,300.8334407,6620,4117,0.44220674,0.386763752,6
0.120056419,0.096373539,0.078496839,0.232038472,0.142561994,0.062666444,303.7090875,301.1298099,6251,3268,0.570701957,0.273316026,6
0.116391836,0.094861628,0.071582451,0.273095279,0.136864572,0.056188291,302.9081499,300.7196118,5931,4156,0.341367662,0.491015524,6
0.120342996,0.097097997,0.07829517,0.240431777,0.143843355,0.063226532,303.7092256,300.9955369,6321,4271,0.373108476,0.456549168,7
0.120548367,0.097667898,0.079312047,0.242692302,0.149274764,0.067322672,303.7157545,301.0112563,6763,3843,0.511835217,0.322895497,7
0.120711162,0.098704334,0.080099657,0.256865736,0.156765513,0.07122639,303.7040412,301.0215582,8114,4689,0.499298781,0.333956927,7
0.119764057,0.097430135,0.075553055,0.265811471,0.140228094,0.060318118,303.5987876,301.0127472,5919,3405,0.502707422,0.330931067,7
0.121198136,0.098623291,0.081079342,0.247753673,0.151611688,0.06834157,303.7905537,301.1538133,6015,3975,0.392059773,0.436719924,7
0.116794003,0.094877164,0.072088708,0.266599655,0.137277528,0.056010313,303.2906461,300.9834948,6189,3630,0.488083094,0.344010979,6
0.12038813,0.09676176,0.076457222,0.247432911,0.133751368,0.057172688,303.9172765,301.1635461,6132,3777,0.449912786,0.379393309,7
0.121779047,0.100263166,0.083064695,0.250291082,0.153642148,0.068394103,304.2896013,301.4649623,7035,3578,0.588973999,0.258673817,7
0.117638627,0.095678246,0.073918309,0.262956905,0.141160834,0.05956719,303.941893,301.3432949,6218,5665,0.092873007,0.830038786,7
0.118041016,0.097010496,0.073919087,0.272633768,0.135791463,0.054912762,303.789228,301.1607376,6610,3232,0.614103258,0.23907809,7
0.118971562,0.096939456,0.075552001,0.262137281,0.142752672,0.059847098,303.9029094,301.2484865,6699,4164,0.442618102,0.386368304,7
0.119513579,0.097954956,0.078123545,0.262375902,0.149952142,0.064360301,304.1902029,301.3631342,5690,3478,0.456002653,0.373623878,7
0.120068072,0.099132391,0.07874326,0.266040177,0.149137666,0.065247305,304.685287,301.8814743,3914,2683,0.360642523,0.469893783,5
0.120087572,0.099339474,0.077398881,0.277583107,0.15023971,0.063518613,304.6899726,301.8005671,5543,3223,0.49466905,0.33808884,7
0.1197134,0.099451146,0.077613957,0.293827266,0.157377005,0.065867234,304.3091021,301.5727834,8015,3202,0.724731207,0.159601003,7
0.118220553,0.096772212,0.077065055,0.251503818,0.149038654,0.065733663,303.6304882,301.0926293,7076,4722,0.383772552,0.445324212,6
0.118520758,0.096209702,0.07495471,0.263976138,0.142072662,0.05977279,304.4163207,301.6488197,6212,3210,0.578504443,0.267022073,7
0.120627984,0.099087379,0.07571492,0.281659315,0.138428218,0.055943614,304.0867099,301.3147088,6428,3290,0.58483243,0.261963069,7
0.120389513,0.097590853,0.081920763,0.236702596,0.155067868,0.073689257,304.4993187,301.6297592,5843,3923,0.37856856,0.450780213,5
0.116380598,0.094538119,0.07139695,0.262473114,0.135734615,0.056625549,303.2871716,300.924289,6918,4471,0.410751253,0.417684376,6
0.116413423,0.094804896,0.071373712,0.263058682,0.137327562,0.057405481,303.3168213,300.9303829,6334,3788,0.473128736,0.357654601,6
0.11267028,0.0913874,0.064612213,0.309952485,0.133229493,0.050291501,302.6413635,300.4212212,8153,5207,0.420568168,0.407887369,7
0.118660372,0.097497982,0.072421203,0.294776927,0.138834885,0.054791028,304.0351896,301.5132033,4927,3382,0.359457731,0.471174836,7
0.1193219,0.096840567,0.07740773,0.249368772,0.149432757,0.065184584,303.9724867,301.3868842,5548,4659,0.172882706,0.705200374,7
